130,6,6,,,,,
nan,73,79,92,90,48,76.4,
73,nan,86,73,79,38,69.8,
79,86,nan,80,85,40,74,
92,73,80,nan,88,47,76,
90,79,85,88,nan,46,77.6,
48,38,40,47,46,nan,43.8,
 ,,,,,,,
128,2,6,,,,,
nan,94,90,83,79,90,87.2,
94,nan,87,81,81,86,85.8,
90,87,nan,76,73,95,84.2,
83,81,76,nan,92,77,81.8,
79,81,73,92,nan,73,79.6,
90,86,95,77,73,nan,84.2,
 ,,,,,,,
131,4,7,,,,,
nan,65,87,49,98,89,77.6,
65,nan,55,79,63,56,63.6,
87,55,nan,42,88,98,74,
49,79,42,nan,48,43,52.2,
98,63,88,48,nan,89,77.2,
89,56,98,43,89,nan,75,
 ,,,,,,,
130,6,5,,,,,
nan,81,80,92,85,80,83.6,
81,nan,91,87,96,78,86.6,
80,91,nan,83,91,77,84.4,
92,87,83,nan,88,80,86,
85,96,91,88,nan,82,88.4,
80,78,77,80,82,nan,79.4,
 ,,,,,,,
132,2,5,,,,,
nan,43,64,56,29,41,46.6,
43,nan,39,27,36,76,44.2,
64,39,nan,76,40,42,52.2,
56,27,76,nan,38,32,45.8,
29,36,40,38,nan,43,37.2,
41,76,42,32,43,nan,46.8,
 ,,,,,,,
129,7,5,,,,,
nan,60,79,76,72,69,71.2,
60,nan,66,74,80,84,72.8,
79,66,nan,90,84,79,79.6,
76,74,90,nan,92,86,83.6,
72,80,84,92,nan,94,84.4,
69,84,79,86,94,nan,82.4,
 ,,,,,,,
134,4,5,,,,,
nan,97,98,98,98,98,97.8,
97,nan,98,98,98,98,97.8,
98,98,nan,99,99,99,98.6,
98,98,99,nan,99,99,98.6,
98,98,99,99,nan,99,98.6,
98,98,99,99,99,nan,98.6,98.33333333
 ,,,,,,,
131,5,4,,,,,
nan,93,87,96,84,93,90.6,
93,nan,81,92,79,94,87.8,
87,81,nan,84,97,83,86.4,
96,92,84,nan,82,97,90.2,
84,79,97,82,nan,81,84.6,
93,94,83,97,81,nan,89.6,
 ,,,,,,,
132,3,2,,,,,
nan,82,82,61,47,49,64.2,
82,nan,74,56,42,43,59.4,
82,74,nan,72,50,55,66.6,
61,56,72,nan,65,60,62.8,
47,42,50,65,nan,57,52.2,
49,43,55,60,57,nan,52.8,
 ,,,,,,,
130,6,7,,,,,
nan,96,96,99,99,99,97.8,
96,nan,93,96,96,96,95.4,
96,93,nan,96,96,96,95.4,
99,96,96,nan,99,98,97.6,
99,96,96,99,nan,99,97.8,
99,96,96,98,99,nan,97.6,96.93333333
 ,,,,,,,
127,2,5,,,,,
nan,34,43,39,38,43,39.4,
34,nan,68,74,84,55,63,
43,68,nan,93,79,74,71.4,
39,74,93,nan,84,72,72.4,
38,84,79,84,nan,67,70.4,
43,55,74,72,67,nan,62.2,
 ,,,,,,,
125,7,4,,,,,
nan,99,99,99,100,100,99.4,
99,nan,99,99,99,99,99,
99,99,nan,99,99,99,99,
99,99,99,nan,99,99,99,
100,99,99,99,nan,100,99.4,
100,99,99,99,100,nan,99.4,99.2
 ,,,,,,,
125,7,7,,,,,
nan,86,75,94,94,94,88.6,
86,nan,91,91,91,91,90,
75,91,nan,80,80,80,81.2,
94,91,80,nan,99,99,92.6,
94,91,80,99,nan,99,92.6,
94,91,80,99,99,nan,92.6,
 ,,,,,,,
125,2,4,,,,,
nan,92,84,84,54,67,76.2,
92,nan,89,89,56,68,78.8,
84,89,nan,89,55,66,76.6,
84,89,89,nan,57,64,76.6,
54,56,55,57,nan,55,55.4,
67,68,66,64,55,nan,64,
 ,,,,,,,
131,7,3,,,,,
nan,73,56,56,55,99,67.8,
73,nan,72,71,70,73,71.8,
56,72,nan,99,98,56,76.2,
56,71,99,nan,98,56,76,
55,70,98,98,nan,55,75.2,
99,73,56,56,55,nan,67.8,
 ,,,,,,,
131,4,3,,,,,
nan,40,44,94,96,96,74,
40,nan,82,39,40,41,48.4,
44,82,nan,43,43,44,51.2,
94,39,43,nan,94,94,72.8,
96,40,43,94,nan,96,73.8,
96,41,44,94,96,nan,74.2,
 ,,,,,,,
133,4,2,,,,,
nan,59,60,71,60,80,66,
59,nan,53,83,87,52,66.8,
60,53,nan,51,52,69,57,
71,83,51,nan,86,63,70.8,
60,87,52,86,nan,53,67.6,
80,52,69,63,53,nan,63.4,
 ,,,,,,,
127,6,7,,,,,
nan,95,94,95,91,94,93.8,
95,nan,97,92,94,97,95,
94,97,nan,91,93,98,94.6,
95,92,91,nan,87,91,91.2,
91,94,93,87,nan,93,91.6,
94,97,98,91,93,nan,94.6,93.46666667
 ,,,,,,,
126,6,7,,,,,
nan,94,86,93,90,88,90.2,
94,nan,87,94,94,88,91.4,
86,87,nan,87,83,80,84.6,
93,94,87,nan,90,93,91.4,
90,94,83,90,nan,85,88.4,
88,88,80,93,85,nan,86.8,88.8
 ,,,,,,,
129,2,5,,,,,
nan,36,85,68,72,66,65.4,
36,nan,35,52,40,49,42.4,
85,35,nan,65,74,61,64,
68,52,65,nan,77,90,70.4,
72,40,74,77,nan,73,67.2,
66,49,61,90,73,nan,67.8,
 ,,,,,,,
135,7,7,,,,,
nan,93,87,87,99,96,92.4,
93,nan,93,93,93,96,93.6,
87,93,nan,99,87,91,91.4,
87,93,99,nan,87,90,91.2,
99,93,87,87,nan,96,92.4,
96,96,91,90,96,nan,93.8,92.46666667
 ,,,,,,,
132,6,3,,,,,
nan,93,57,94,69,46,71.8,
93,nan,55,90,65,47,70,
57,55,nan,58,77,54,60.2,
94,90,58,nan,71,46,71.8,
69,65,77,71,nan,46,65.6,
46,47,54,46,46,nan,47.8,
 ,,,,,,,
135,3,3,,,,,
nan,42,47,78,48,38,50.6,
42,nan,55,37,54,54,48.4,
47,55,nan,41,95,58,59.2,
78,37,41,nan,41,42,47.8,
48,54,95,41,nan,55,58.6,
38,54,58,42,55,nan,49.4,
 ,,,,,,,
129,4,6,,,,,
