130,5,6,,,,,,,
127,7,7,,,,,,,
nan,99,99,99,99,99,99,,,
99,nan,99,100,100,99,99.4,,,
99,99,nan,99,99,100,99.2,,,
99,100,99,nan,100,99,99.4,,,
99,100,99,100,nan,99,99.4,,,
99,99,100,99,99,nan,99.2,99.26666667,,
 ,,,,,,,,,
133,6,2,,,,,,,
nan,49,79,84,87,51,70,,,
49,nan,54,53,51,91,59.6,,,
79,54,nan,89,86,57,73,,,
84,53,89,nan,96,55,75.4,,,
87,51,86,96,nan,53,74.6,,,
51,91,57,55,53,nan,61.4,,,
 ,,,,,,,,,
133,3,4,,,,,,,
nan,97,96,96,98,95,96.4,,,
97,nan,96,95,98,97,96.6,,,
96,96,nan,99,97,94,96.4,,,
96,95,99,nan,96,93,95.8,,,
98,98,97,96,nan,96,97,,,
95,97,94,93,96,nan,95,96.2,,
 ,,,,,,,,,
133,6,2,,,,,,,
nan,91,53,51,94,91,76,,,
91,nan,57,56,89,89,76.4,,,
53,57,nan,83,53,53,59.8,,,
51,56,83,nan,53,55,59.6,,,
94,89,53,53,nan,94,76.6,,,
91,89,53,55,94,nan,76.4,,,
 ,,,,,,,,,
134,2,2,,,,,,,
nan,38,45,39,51,27,40,,,
38,nan,58,55,39,53,48.6,,,
45,58,nan,83,37,52,55,,,
39,55,83,nan,34,55,53.2,,,
51,39,37,34,nan,31,38.4,,,
27,53,52,55,31,nan,43.6,,,
 ,,,,,,,,,
127,3,4,,,,,,,
nan,84,98,95,80,93,90,,,
84,nan,83,85,81,86,83.8,,,
98,83,nan,96,80,92,89.8,,,
95,85,96,nan,77,90,88.6,,,
80,81,80,77,nan,80,79.6,,,
93,86,92,90,80,nan,88.2,,,
 ,,,,,,,,,
126,5,5,,,,,,,
nan,98,98,99,88,99,96.4,,,
98,nan,99,99,89,99,96.8,,,
98,99,nan,98,89,98,96.4,,,
99,99,98,nan,88,100,96.8,,,
88,89,89,88,nan,88,88.4,,,
99,99,98,100,88,nan,96.8,95.26666667,,
 ,,,,,,,,,
130,3,6,,,,,,,
nan,84,85,84,85,78,83.2,,,
84,nan,90,90,90,77,86.2,,,
85,90,nan,98,97,85,91,,,
84,90,98,nan,96,85,90.6,,,
85,90,97,96,nan,85,90.6,,,
78,77,85,85,85,nan,82,,,
 ,,,,,,,,,
131,4,3,,,,,,,
nan,83,78,98,96,97,90.4,,,
83,nan,87,82,85,85,84.4,,,
78,87,nan,78,80,81,80.8,,,
98,82,78,nan,96,95,89.8,,,
96,85,80,96,nan,99,91.2,,,
97,85,81,95,99,nan,91.4,,,
