127,2,5,,,,,
nan,33,33,70,32,70,47.6,
33,nan,97,42,88,42,60.4,
33,97,nan,41,90,41,60.4,
70,42,41,nan,37,100,58,
32,88,90,37,nan,37,56.8,
70,42,41,100,37,nan,58,
 ,,,,,,,
131,6,4,,,,,
nan,100,100,91,100,100,98.2,
100,nan,100,91,100,100,98.2,
100,100,nan,91,100,100,98.2,
91,91,91,nan,91,91,91,
100,100,100,91,nan,100,98.2,
100,100,100,91,100,nan,98.2,97
 ,,,,,,,
126,5,5,,,,,
nan,100,100,100,100,100,100,
100,nan,100,100,100,100,100,
100,100,nan,100,100,100,100,
100,100,100,nan,100,100,100,
100,100,100,100,nan,100,100,
100,100,100,100,100,nan,100,
 ,,,,,,,
129,5,2,,,,,
nan,88,91,97,99,92,93.4,
88,nan,96,86,88,95,90.6,
91,96,nan,89,92,99,93.4,
97,86,89,nan,97,89,91.6,
99,88,92,97,nan,92,93.6,
92,95,99,89,92,nan,93.4,92.66666667
 ,,,,,,,
125,6,5,,,,,
nan,87,86,83,82,79,83.4,
87,nan,98,94,77,91,89.4,
86,98,nan,95,76,93,89.6,
83,94,95,nan,72,96,88,
82,77,76,72,nan,70,75.4,
79,91,93,96,70,nan,85.8,
 ,,,,,,,
133,7,3,,,,,
nan,97,100,97,97,83,94.8,
97,nan,97,100,100,81,95,
100,97,nan,97,97,83,94.8,
97,100,97,nan,100,81,95,
97,100,97,100,nan,81,95,
83,81,83,81,81,nan,81.8,
 ,,,,,,,
127,4,6,,,,,
nan,100,100,100,100,98,99.6,
100,nan,100,100,100,98,99.6,
100,100,nan,100,100,98,99.6,
100,100,100,nan,100,98,99.6,
100,100,100,100,nan,98,99.6,
98,98,98,98,98,nan,98,99.33333333
 ,,,,,,,
131,6,4,,,,,
nan,100,100,100,100,91,98.2,
100,nan,100,100,100,91,98.2,
100,100,nan,100,100,91,98.2,
100,100,100,nan,100,91,98.2,
100,100,100,100,nan,91,98.2,
91,91,91,91,91,nan,91,97
 ,,,,,,,
129,2,7,,,,,
nan,98,93,72,90,90,88.6,
98,nan,93,73,91,91,89.2,
93,93,nan,75,97,97,91,
72,73,75,nan,76,76,74.4,
90,91,97,76,nan,100,90.8,
90,91,97,76,100,nan,90.8,
 ,,,,,,,
129,3,3,,,,,
nan,95,70,81,91,92,85.8,
95,nan,68,84,91,96,86.8,
70,68,nan,69,72,67,69.2,
81,84,69,nan,85,85,80.8,
91,91,72,85,nan,90,85.8,
92,96,67,85,90,nan,86,
 ,,,,,,,
127,5,7,,,,,
nan,64,63,69,69,74,67.8,
64,nan,66,87,86,77,76,
63,66,nan,69,70,78,69.2,
69,87,69,nan,79,83,77.4,
69,86,70,79,nan,81,77,
74,77,78,83,81,nan,78.6,
 ,,,,,,,
129,2,6,,,,,
nan,88,100,93,93,87,92.2,
88,nan,88,94,93,97,92,
100,88,nan,93,93,87,92.2,
93,94,93,nan,98,94,94.4,
93,93,93,98,nan,94,94.2,
87,97,87,94,94,nan,91.8,92.8
 ,,,,,,,
131,5,3,,,,,
nan,95,94,58,63,95,81,
95,nan,97,57,61,100,82,
