127,7,5,,,,,
nan,72,85,89,78,81,81,
72,nan,73,76,67,69,71.4,
85,73,nan,89,64,89,80,
89,76,89,nan,67,85,81.2,
78,67,64,67,nan,59,67,
81,69,89,85,59,nan,76.6,
 ,,,,,,,
128,7,6,,,,,
nan,90,85,90,85,82,86.4,
90,nan,82,85,88,77,84.4,
85,82,nan,86,75,76,80.8,
90,85,86,nan,82,75,83.6,
85,88,75,82,nan,80,82,
82,77,76,75,80,nan,78,
 ,,,,,,,
133,3,5,,,,,
nan,100,100,100,100,97,99.4,
100,nan,100,100,100,97,99.4,
100,100,nan,100,100,97,99.4,
100,100,100,nan,100,97,99.4,
100,100,100,100,nan,97,99.4,
97,97,97,97,97,nan,97,99
 ,,,,,,,
134,4,5,,,,,
nan,99,100,26,100,26,70.2,
99,nan,99,26,99,26,69.8,
100,99,nan,26,100,26,70.2,
26,26,26,nan,26,100,40.8,
100,99,100,26,nan,26,70.2,
26,26,26,100,26,nan,40.8,
 ,,,,,,,
131,5,7,,,,,
nan,68,67,66,66,64,66.2,
68,nan,83,54,80,83,73.6,
67,83,nan,57,72,80,71.8,
66,54,57,nan,60,55,58.4,
66,80,72,60,nan,80,71.6,
64,83,80,55,80,nan,72.4,
 ,,,,,,,
129,3,2,,,,,
nan,28,99,93,100,100,84,
28,nan,29,31,28,28,28.8,
99,29,nan,94,99,99,84,
93,31,94,nan,93,93,80.8,
100,28,99,93,nan,100,84,
100,28,99,93,100,nan,84,
 ,,,,,,,
132,7,4,,,,,
nan,91,99,99,58,97,88.8,
91,nan,90,92,64,89,85.2,
99,90,nan,98,57,98,88.4,
99,92,98,nan,59,96,88.8,
58,64,57,59,nan,56,58.8,
97,89,98,96,56,nan,87.2,
 ,,,,,,,
130,6,7,,,,,
nan,100,94,100,95,97,97.2,
100,nan,94,100,95,97,97.2,
94,94,nan,94,95,91,93.6,
100,100,94,nan,95,97,97.2,
95,95,95,95,nan,92,94.4,
97,97,91,97,92,nan,94.8,95.73333333
 ,,,,,,,
132,2,5,,,,,
nan,100,99,60,100,100,91.8,
100,nan,99,60,100,100,91.8,
99,99,nan,59,99,99,91,
60,60,59,nan,60,60,59.8,
100,100,99,60,nan,100,91.8,
100,100,99,60,100,nan,91.8,
 ,,,,,,,
131,5,2,,,,,
nan,100,100,100,100,100,100,
100,nan,100,100,100,100,100,
100,100,nan,100,100,100,100,
100,100,100,nan,100,100,100,
100,100,100,100,nan,100,100,
100,100,100,100,100,nan,100,
 ,,,,,,,
135,4,4,,,,,
nan,100,100,85,89,89,92.6,
100,nan,100,85,89,89,92.6,
100,100,nan,85,89,89,92.6,
85,85,85,nan,75,75,81,
89,89,89,75,nan,100,88.4,
89,89,89,75,100,nan,88.4,
 ,,,,,,,
132,6,5,,,,,
nan,66,100,61,66,94,77.4,
66,nan,66,36,100,61,65.8,
100,66,nan,61,66,94,77.4,
61,36,61,nan,36,66,52,
66,100,66,36,nan,61,65.8,
94,61,94,66,61,nan,75.2,
 ,,,,,,,
134,5,2,,,,,
nan,100,100,96,97,96,97.8,
100,nan,100,96,97,96,97.8,
100,100,nan,96,97,96,97.8,
96,96,96,nan,98,100,97.2,
97,97,97,98,nan,98,97.4,
96,96,96,100,98,nan,97.2,97.53333333
 ,,,,,,,
128,2,5,,,,,
nan,100,100,34,31,31,59.2,
100,nan,100,34,31,31,59.2,
100,100,nan,34,31,31,59.2,
34,34,34,nan,95,95,58.4,
31,31,31,95,nan,100,57.6,
31,31,31,95,100,nan,57.6,
 ,,,,,,,
128,3,6,,,,,
nan,100,100,100,100,63,92.6,
100,nan,100,100,100,63,92.6,
100,100,nan,100,100,63,92.6,
100,100,100,nan,100,63,92.6,
100,100,100,100,nan,63,92.6,
63,63,63,63,63,nan,63,
 ,,,,,,,
128,7,5,,,,,
nan,78,94,82,85,84,84.6,
78,nan,83,66,62,68,71.4,
94,83,nan,77,80,79,82.6,
82,66,77,nan,83,92,80,
85,62,80,83,nan,82,78.4,
84,68,79,92,82,nan,81,
 ,,,,,,,
127,7,2,,,,,
nan,100,100,98,100,100,99.6,
100,nan,100,98,100,100,99.6,
100,100,nan,98,100,100,99.6,
98,98,98,nan,98,98,98,
