125,4,4,,,,,,,
nan,98,61,98,99,77,86.6,,,
98,nan,61,100,99,78,87.2,,,
61,61,nan,61,61,54,59.6,,,
98,100,61,nan,99,78,87.2,,,
99,99,61,99,nan,78,87.2,,,
77,78,54,78,78,nan,73,,,
 ,,,,,,,,,
135,5,6,,,,,,,
nan,94,44,69,38,27,54.4,,,
94,nan,41,66,36,28,53,,,
44,41,nan,59,87,57,57.6,,,
69,66,59,nan,51,49,58.8,,,
38,36,87,51,nan,55,53.4,,,
27,28,57,49,55,nan,43.2,,,
 ,,,,,,,,,
128,4,7,,,,,,,
nan,99,5,99,99,100,80.4,,,
99,nan,5,99,99,99,80.2,,,
5,5,nan,5,5,5,5,,,
99,99,5,nan,99,99,80.2,,,
99,99,5,99,nan,99,80.2,,,
100,99,5,99,99,nan,80.4,,,
 ,,,,,,,,,
133,5,4,,,,,,,
nan,98,98,99,93,98,97.2,,,
98,nan,100,99,93,100,98,,,
98,100,nan,99,93,100,98,,,
99,99,99,nan,94,99,98,,,
93,93,93,94,nan,93,93.2,,,
98,100,100,99,93,nan,98,97.06666667,,
 ,,,,,,,,,
132,2,5,,,,,,,
nan,69,70,100,69,69,75.4,,,
69,nan,95,69,97,98,85.6,,,
70,95,nan,70,95,94,84.8,,,
100,69,70,nan,69,69,75.4,,,
69,97,95,69,nan,97,85.4,,,
69,98,94,69,97,nan,85.4,,,
 ,,,,,,,,,
135,6,7,,,,,,,
nan,29,87,99,97,81,78.6,,,
29,nan,20,30,30,39,29.6,,,
87,20,nan,87,87,70,70.2,,,
99,30,87,nan,97,81,78.8,,,
97,30,87,97,nan,83,78.8,,,
81,39,70,81,83,nan,70.8,,,
 ,,,,,,,,,
129,6,7,,,,,,,
nan,91,93,93,95,93,93,,,
91,nan,95,96,93,90,93,,,
93,95,nan,93,95,93,93.8,,,
93,96,93,nan,95,93,94,,,
95,93,95,95,nan,95,94.6,,,
93,90,93,93,95,nan,92.8,93.53333333,,
 ,,,,,,,,,
126,7,2,,,,,,,
nan,67,42,36,36,67,49.6,,,
67,nan,41,35,35,99,55.4,,,
42,41,nan,71,70,41,53,,,
36,35,71,nan,99,35,55.2,,,
36,35,70,99,nan,35,55,,,
67,99,41,35,35,nan,55.4,,,
 ,,,,,,,,,
133,3,2,,,,,,,
nan,91,95,95,100,54,87,,,
91,nan,96,92,91,57,85.4,,,
95,96,nan,92,95,57,87,,,
95,92,92,nan,95,53,85.4,,,
100,91,95,95,nan,54,87,,,
54,57,57,53,54,nan,55,,,
 ,,,,,,,,,
129,6,3,,,,,,,
nan,55,91,73,55,97,74.2,,,
55,nan,55,50,99,55,62.8,,,
91,55,nan,74,55,92,73.4,,,
73,50,74,nan,51,75,64.6,,,
55,99,55,51,nan,56,63.2,,,
97,55,92,75,56,nan,75,,,
 ,,,,,,,,,
128,7,6,,,,,,,
nan,74,73,54,72,70,68.6,,,
74,nan,86,71,86,83,80,,,
73,86,nan,73,90,92,82.8,,,
54,71,73,nan,78,70,69.2,,,
72,86,90,78,nan,87,82.6,,,
70,83,92,70,87,nan,80.4,,,
 ,,,,,,,,,
126,3,3,,,,,,,
nan,66,66,96,65,77,74,,,
66,nan,95,68,96,50,75,,,
66,95,nan,68,98,49,75.2,,,
96,68,68,nan,67,75,74.8,,,
65,96,98,67,nan,49,75,,,
77,50,49,75,49,nan,60,,,
 ,,,,,,,,,
131,6,2,,,,,,,
nan,98,49,49,99,54,69.8,,,
98,nan,49,49,97,54,69.4,,,
49,49,nan,92,48,74,62.4,,,
49,49,92,nan,48,74,62.4,,,
99,97,48,48,nan,54,69.2,,,
54,54,74,74,54,nan,62,,,
 ,,,,,,,,,
135,2,6,,,,,,,
nan,97,98,97,98,98,97.6,,,
97,nan,97,98,98,96,97.2,,,
98,97,nan,97,96,99,97.4,,,
97,98,97,nan,98,97,97.4,,,
98,98,96,98,nan,96,97.2,,,
98,96,99,97,96,nan,97.2,97.33333333,,
 ,,,,,,,,,
132,7,6,,,,,,,
nan,30,34,31,38,31,32.8,,,
30,nan,86,91,80,92,75.8,,,
34,86,nan,88,82,86,75.2,,,
31,91,88,nan,79,91,76,,,
38,80,82,79,nan,79,71.6,,,
31,92,86,91,79,nan,75.8,,,
 ,,,,,,,,,
130,4,3,,,,,,,
nan,57,93,100,100,57,81.4,,,
57,nan,56,57,57,100,65.4,,,
93,56,nan,93,93,56,78.2,,,
100,57,93,nan,100,57,81.4,,,
100,57,93,100,nan,57,81.4,,,
57,100,56,57,57,nan,65.4,,,
 ,,,,,,,,,
127,6,6,,,,,,,
nan,27,77,63,96,88,70.2,,,
27,nan,16,13,27,22,21,,,
77,16,nan,69,74,86,64.4,,,
63,13,69,nan,61,70,55.2,,,
96,27,74,61,nan,86,68.8,,,
88,22,86,70,86,nan,70.4,,,
 ,,,,,,,,,
131,4,5,,,,,,,
nan,73,73,74,49,73,68.4,,,
73,nan,100,89,42,100,80.8,,,
73,100,nan,89,42,100,80.8,,,
74,89,89,nan,46,89,77.4,,,
49,42,42,46,nan,42,44.2,,,
73,100,100,89,42,nan,80.8,,,
 ,,,,,,,,,
127,2,6,,,,,,,
nan,53,61,59,53,54,56,,,
53,nan,78,79,100,98,81.6,,,
61,78,nan,98,78,79,78.8,,,
59,79,98,nan,79,80,79,,,
53,100,78,79,nan,98,81.6,,,
54,98,79,80,98,nan,81.8,,,
 ,,,,,,,,,
135,5,6,,,,,,,
nan,57,78,78,80,76,73.8,,,
57,nan,47,70,72,67,62.6,,,
78,47,nan,62,65,60,62.4,,,
78,70,62,nan,97,92,79.8,,,
80,72,65,97,nan,94,81.6,,,
76,67,60,92,94,nan,77.8,,,
 ,,,,,,,,,
132,2,3,,,,,,,
nan,69,86,64,26,75,64,,,
69,nan,76,68,35,90,67.6,,,
86,76,nan,68,30,80,68,,,
64,68,68,nan,34,70,60.8,,,
26,35,30,34,nan,33,31.6,,,
75,90,80,70,33,nan,69.6,,,
 ,,,,,,,,,
132,4,5,,,,,,,
nan,66,64,89,64,64,69.4,,,
66,nan,97,67,96,97,84.6,,,
64,97,nan,66,99,100,85.2,,,
89,67,66,nan,65,66,70.6,,,
64,96,99,65,nan,99,84.6,,,
64,97,100,66,99,nan,85.2,,,
 ,,,,,,,,,
131,2,6,,,,,,,
nan,43,34,60,95,61,58.6,,,
43,nan,54,56,40,56,49.8,,,
34,54,nan,38,33,38,39.4,,,
60,56,38,nan,57,97,61.6,,,
95,40,33,57,nan,58,56.6,,,
61,56,38,97,58,nan,62,,,
 ,,,,,,,,,
133,2,7,,,,,,,
nan,45,74,74,47,74,62.8,,,
45,nan,47,48,96,47,56.6,,,
74,47,nan,98,48,99,73.2,,,
74,48,98,nan,49,98,73.4,,,
47,96,48,49,nan,48,57.6,,,
74,47,99,98,48,nan,73.2,,,
 ,,,,,,,,,
130,2,5,,,,,,,
nan,61,66,55,64,57,60.6,,,
61,nan,53,67,95,70,69.2,,,
66,53,nan,56,56,56,57.4,,,
55,67,56,nan,66,93,67.4,,,
64,95,56,66,nan,68,69.8,,,
57,70,56,93,68,nan,68.8,,,
 ,,,,,,,,,
125,2,7,,,,,,,
nan,53,97,98,53,74,75,,,
53,nan,54,54,98,51,62,,,
97,54,nan,98,54,73,75.2,,,
98,54,98,nan,54,73,75.4,,,
53,98,54,54,nan,51,62,,,
74,51,73,73,51,nan,64.4,,,
 ,,,,,,,,,
127,7,2,,,,,,,
nan,34,97,36,36,28,46.2,,,
34,nan,33,79,79,71,59.2,,,
97,33,nan,35,35,27,45.4,,,
36,79,35,nan,99,66,63,,,
36,79,35,99,nan,65,62.8,,,
28,71,27,66,65,nan,51.4,,,
 ,,,,,,,,,
133,6,4,,,,,,,
nan,39,71,39,40,40,45.8,,,
39,nan,50,100,93,93,75,,,
71,50,nan,50,53,53,55.4,,,
39,100,50,nan,93,93,75,,,
40,93,53,93,nan,100,75.8,,,
40,93,53,93,100,nan,75.8,,,
 ,,,,,,,,,
132,3,2,,,,,,,
nan,52,80,86,74,76,73.6,,,
52,nan,56,59,61,61,57.8,,,
80,56,nan,85,90,86,79.4,,,
86,59,85,nan,80,81,78.2,,,
74,61,90,80,nan,95,80,,,
76,61,86,81,95,nan,79.8,,,
 ,,,,,,,,,
128,4,7,,,,,,,
nan,99,99,99,99,99,99,,,
99,nan,99,99,100,100,99.4,,,
99,99,nan,99,99,99,99,,,
99,99,99,nan,99,99,99,,,
99,100,99,99,nan,100,99.4,,,
99,100,99,99,100,nan,99.4,99.2,,
 ,,,,,,,,,
135,4,2,,,,,,,
nan,98,99,87,87,100,94.2,,,
98,nan,98,86,86,98,93.2,,,
99,98,nan,87,87,99,94,,,
87,86,87,nan,100,87,89.4,,,
87,86,87,100,nan,87,89.4,,,
100,98,99,87,87,nan,94.2,92.4,,
 ,,,,,,,,,
126,3,3,,,,,,,
nan,98,96,69,96,62,84.2,,,
98,nan,98,70,98,62,85.2,,,
96,98,nan,71,100,63,85.6,,,
69,70,71,nan,71,78,71.8,,,
96,98,100,71,nan,63,85.6,,,
62,62,63,78,63,nan,65.6,,,
 ,,,,,,,,,
132,5,4,,,,,,,
nan,97,97,97,97,97,97,,,
