126,3,4,,,,,,,,,
100,5,nan,100,100,15,64,,,,,
100,5,100,nan,100,15,64,,,,,
100,5,100,100,nan,15,64,,,,,
15,17,15,15,15,nan,15.4,,,,,
 ,,,,,,,,,,,
131,3,4,,,,,,,,,
nan,nan,100,100,nan,100,100,,,,,
nan,nan,nan,nan,24,nan,24,,,,,
100,nan,nan,100,nan,100,100,,,,,
100,nan,100,nan,nan,100,100,,,,,
nan,24,nan,nan,nan,nan,24,,,,,
100,nan,100,100,nan,nan,100,,,,,
 ,,,,,,,135,3,7,,
nan,100,100,100,100,100,100,,,,,
100,nan,100,100,100,100,100,,,,,
100,100,nan,100,100,100,100,,,,,
100,100,100,nan,100,100,100,,,,,
100,100,100,100,nan,100,100,,,,,
100,100,100,100,100,nan,100,100,,,,
 ,,,,,,,,,,,
134,3,3,,,,,,,,,
nan,100,100,100,100,100,100,,,,,
100,nan,100,100,100,100,100,,,,,
100,100,nan,100,100,100,100,,,,,
100,100,100,nan,100,100,100,,,,,
100,100,100,100,nan,100,100,,,,,
100,100,100,100,100,nan,100,,,,,
 ,,,,,,,,,,,
126,7,6,,,,,,,,,
nan,33,94,89,nan,58,68.5,,,,,
33,nan,32,32,nan,23,30,,,,,
94,32,nan,91,nan,63,70,,,,,
89,32,91,nan,nan,62,68.5,,,,,
nan,nan,nan,nan,nan,nan,nan,,,,,
58,23,63,62,nan,nan,51.5,,,,,
 ,,,,,,,,,,,
126,3,5,,,,,,,,,
nan,25,54,100,54,100,66.6,,,,,
25,nan,39,25,39,25,30.6,,,,,
54,39,nan,54,100,54,60.2,,,,,
100,25,54,nan,54,100,66.6,,,,,
54,39,100,54,nan,54,60.2,,,,,
100,25,54,100,54,nan,66.6,,,,,
 ,,,,,,,,,,,
135,5,7,,,,,,,,,
nan,19,11,30,15,14,17.8,,,,,
19,nan,68,58,68,73,57.2,,,,,
11,68,nan,72,89,67,61.4,,,,,
30,58,72,nan,72,60,58.4,,,,,
15,68,89,72,nan,63,61.4,,,,,
14,73,67,60,63,nan,55.4,,,,,
 ,,,,,,,,,,,
134,4,4,,,,,,,,,
nan,20,100,66,66,64,63.2,,,,,
20,nan,20,25,25,25,23,,,,,
100,20,nan,66,66,64,63.2,,,,,
66,25,66,nan,100,97,70.8,,,,,
66,25,66,100,nan,97,70.8,,,,,
64,25,64,97,97,nan,69.4,,,,,
 ,,,,,,,,,,,
127,7,5,,,,,,,,,
nan,95,80,93,80,69,83.4,,,,,
95,nan,85,97,85,73,87,,,,,
80,85,nan,83,79,58,77,,,,,
93,97,83,nan,83,75,86.2,,,,,
80,85,79,83,nan,58,77,,,,,
69,73,58,75,58,nan,66.6,,,,,
 ,,,,,,,,,,,
131,3,5,,,,,,,,,
nan,100,64,100,100,100,92.8,,,,,
100,nan,64,100,100,100,92.8,,,,,
64,64,nan,64,64,64,64,,,,,
100,100,64,nan,100,100,92.8,,,,,
100,100,64,100,nan,100,92.8,,,,,
100,100,64,100,100,nan,92.8,,,,,
 ,,,,,,,,,,,
128,5,5,,,,,,,,,
nan,100,19,10,-1,100,45.6,,,,,
100,nan,19,10,-1,100,45.6,,,,,
19,19,nan,62,17,19,27.2,,,,,
10,10,62,nan,34,10,25.2,,,,,
-1,-1,17,34,nan,-1,9.6,,,,,
100,100,19,10,-1,nan,45.6,,,,,
 ,,,,,,,,,,,
134,2,7,,,,,,,,,
nan,100,100,100,-4,100,79.2,,,,,
100,nan,100,100,-4,100,79.2,,,,,
100,100,nan,100,-4,100,79.2,,,,,
100,100,100,nan,-4,100,79.2,,,,,
-4,-4,-4,-4,nan,-4,-4,,,,,
100,100,100,100,-4,nan,79.2,,,,,
 ,,,,,,,,,132,6,4
nan,37,55,100,100,37,65.8,,,,,
37,nan,73,37,37,100,56.8,,,,,
55,73,nan,55,55,73,62.2,,,,,
100,37,55,nan,100,37,65.8,,,,,
100,37,55,100,nan,37,65.8,,,,,
37,100,73,37,37,nan,56.8,,,,,
 ,,,,,,,,,,,
129,3,4,,,,,,,,,
nan,1,16,100,1,100,43.6,,,,,
1,nan,nan,1,96,1,24.75,,,,,
16,nan,nan,16,nan,16,16,,,,,
100,1,16,nan,1,100,43.6,,,,,
1,96,nan,1,nan,1,24.75,,,,,
100,1,16,100,1,nan,43.6,,,,,
 ,,,,,,,,,,,
133,3,6,,,,,,,,,
nan,100,100,100,28,100,85.6,,,,,
100,nan,100,100,28,100,85.6,,,,,
100,100,nan,100,28,100,85.6,,,,,
100,100,100,nan,28,100,85.6,,,,,
28,28,28,28,nan,28,28,,,,,
100,100,100,100,28,nan,85.6,,,,,
 ,,,,,,,,,,,
128,6,2,,,,,,,,,
nan,-9,27,27,27,27,19.8,,,,,
-9,nan,26,26,26,26,19,,,,,
27,26,nan,100,100,100,70.6,,,,,
27,26,100,nan,100,100,70.6,,,,,
27,26,100,100,nan,100,70.6,,,,,
27,26,100,100,100,nan,70.6,,,,,
 ,,,,,,,,,,,
134,2,5,,,,,,,,,
nan,36,78,36,75,78,60.6,,,,,
36,nan,24,99,22,24,41,,,,,
78,24,nan,24,95,100,64.2,,,,,
36,99,24,nan,23,24,41.2,,,,,
75,22,95,23,nan,95,62,,,,,
78,24,100,24,95,nan,64.2,,,,,
 ,,,,,,,,,,,
126,5,3,,,,,,,,,
nan,82,100,100,100,100,96.4,,,,,
82,nan,82,82,82,82,82,,,,,
100,82,nan,100,100,100,96.4,,,,,
100,82,100,nan,100,100,96.4,,,,,
100,82,100,100,nan,100,96.4,,,,,
100,82,100,100,100,nan,96.4,93.52,,,,
 ,,,,,,,,,,,
135,5,2,,,,,,,,,
nan,100,100,100,100,100,100,,,,,
100,nan,100,100,100,100,100,,,,,
100,100,nan,100,100,100,100,,,,,
100,100,100,nan,100,100,100,,,,,
100,100,100,100,nan,100,100,,,,,
100,100,100,100,100,nan,100,,,,,
 ,,,,,,,,,,,
127,5,7,,,,,,,,,
nan,70,63,7,68,10,43.6,,,,,
70,nan,87,10,85,8,52,,,,,
63,87,nan,9,94,7,52,,,,,
7,10,9,nan,9,-1,6.8,,,,,
68,85,94,9,nan,8,52.8,,,,,
10,8,7,-1,8,nan,6.4,,,,,
 ,,,,,,,,,,,
128,2,7,,,,,,,,,
nan,100,100,100,100,100,100,,,,,
100,nan,100,100,100,100,100,,,,,
100,100,nan,100,100,100,100,,,,,
100,100,100,nan,100,100,100,,,,,
100,100,100,100,nan,100,100,,,,,
100,100,100,100,100,nan,100,100,,,,
 ,,,,,,,,,,,
131,5,3,,,,,,,,,
nan,89,100,100,56,100,89,,,,,
89,nan,89,89,51,89,81.4,,,,,
100,89,nan,100,56,100,89,,,,,
100,89,100,nan,56,100,89,,,,,
56,51,56,56,nan,56,55,,,,,
100,89,100,100,56,nan,89,,,,,
 ,,,,,,,,,,,
