132,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan,81,48,93,61,79,49,42,75,75,85,46,71,46,82,83,68,50,65,49,65.68421053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,nan,53,84,63,86,55,49,79,75,88,56,69,56,79,87,79,62,67,62,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,53,nan,52,76,55,87,67,61,55,51,80,56,79,49,57,56,63,76,79,63.15789474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,84,52,nan,63,83,52,46,79,80,88,49,71,50,82,87,70,53,69,52,68.57894737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,63,76,63,nan,57,77,61,60,51,60,75,72,73,66,59,54,63,89,77,66.15789474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,86,55,83,57,nan,56,51,82,79,85,56,63,56,72,93,82,63,62,57,69.31578947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,55,87,52,77,56,nan,76,61,56,52,87,55,88,49,58,65,67,77,83,65.78947368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,49,67,46,61,51,76,nan,50,47,46,80,46,80,43,52,60,64,62,74,57.68421053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,79,61,79,60,82,61,50,nan,80,79,55,70,55,77,82,75,58,65,57,68.42105263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,75,55,80,51,79,56,47,80,nan,76,50,59,51,69,81,72,54,55,49,63.89473684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,88,51,88,60,85,52,46,79,76,nan,51,67,53,78,88,74,59,65,57,68.52631579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,56,80,49,75,56,87,80,55,50,51,nan,53,91,48,56,61,72,73,89,64.63157895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,69,56,71,72,63,55,46,70,59,67,53,nan,53,79,64,56,51,71,58,62.31578947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,56,79,50,73,56,88,80,55,51,53,91,53,nan,47,55,64,70,73,88,64.63157895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,79,49,82,66,72,49,43,77,69,78,48,79,47,nan,76,66,49,65,52,64.63157895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,87,57,87,59,93,58,52,82,81,88,56,64,55,76,nan,81,61,64,57,70.57894737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,79,56,70,54,82,65,60,75,72,74,61,56,64,66,81,nan,69,58,59,66.78947368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,62,63,53,63,63,67,64,58,54,59,72,51,70,49,61,69,nan,63,69,61.05263158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,67,76,69,89,62,77,62,65,55,65,73,71,73,65,64,58,63,nan,76,68.15789474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,62,79,52,77,57,83,74,57,49,57,89,58,88,52,57,59,69,76,nan,65.47368421,65.78947368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan,85,91,89,78,85.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,nan,81,77,88,82.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,81,nan,93,73,84.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,77,93,nan,76,83.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,88,73,76,nan,78.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan,98,96,93,85,98,94,86,94,96,96,85,97,96,98,99,98,86,93,95,93.84210526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,nan,95,94,86,97,93,86,93,95,95,85,96,94,97,98,97,85,92,94,93.15789474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,95,nan,91,83,97,97,89,96,93,97,82,94,96,95,96,97,85,96,97,93.26315789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,94,91,nan,91,92,88,81,88,94,90,91,95,90,94,94,92,90,88,89,90.78947368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,86,83,91,nan,85,82,77,82,88,84,87,87,84,86,85,84,84,82,82,84.42105263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
