127,2,3,,,,,,,
nan,98,98,98,42,93,85.8,,,
98,nan,100,100,43,95,87.2,,,
98,100,nan,100,43,95,87.2,,,
98,100,100,nan,43,95,87.2,,,
42,43,43,43,nan,41,42.4,,,
93,95,95,95,41,nan,83.8,,,
 ,,,,,,,,,
135,4,6,,,,,,,
nan,56,49,100,100,100,81,,,
56,nan,52,56,56,56,55.2,,,
49,52,nan,49,49,49,49.6,,,
100,56,49,nan,100,100,81,,,
100,56,49,100,nan,100,81,,,
100,56,49,100,100,nan,81,,,
 ,,,,,,,,,
128,5,3,,,,,,,
nan,90,90,42,90,49,72.2,,,
90,nan,100,42,100,48,76,,,
90,100,nan,42,100,48,76,,,
42,42,42,nan,42,86,50.8,,,
90,100,100,42,nan,48,76,,,
49,48,48,86,48,nan,55.8,,,
 ,,,,,,,,,
130,7,2,,,,,,,
132,3,2,,,,,,,
nan,100,100,99,100,100,99.8,,,
100,nan,100,99,100,100,99.8,,,
100,100,nan,99,100,100,99.8,,,
99,99,99,nan,99,99,99,,,
100,100,100,99,nan,100,99.8,,,
100,100,100,99,100,nan,99.8,99.66666667,,
 ,,,,,,,,,
125,7,6,,,,,,,
nan,87,76,80,87,33,72.6,,,
87,nan,71,93,84,31,73.2,,,
76,71,nan,63,86,38,66.8,,,
80,93,63,nan,78,29,68.6,,,
87,84,86,78,nan,37,74.4,,,
33,31,38,29,37,nan,33.6,,,
 ,,,,,,,,,
130,5,2,,,,,,,
nan,100,100,1,100,1,60.4,,,
100,nan,100,1,100,1,60.4,,,
100,100,nan,1,100,1,60.4,,,
1,1,1,nan,1,100,20.8,,,
100,100,100,1,nan,1,60.4,,,
1,1,1,100,1,nan,20.8,,,
 ,,,,,,,,,
134,2,7,,,,,,,
nan,13,13,98,24,100,49.6,,,
13,nan,100,13,41,13,36,,,
13,100,nan,13,41,13,36,,,
98,13,13,nan,24,98,49.2,,,
24,41,41,24,nan,24,30.8,,,
100,13,13,98,24,nan,49.6,,,
 ,,,,,,,,,
130,6,6,,,,,,,
nan,70,52,5,87,19,46.6,,,
70,nan,42,6,76,17,42.2,,,
52,42,nan,2,56,43,39,,,
5,6,2,nan,4,nan,4.25,,,
87,76,56,4,nan,21,48.8,,,
19,17,43,nan,21,nan,25,,,
 ,,,,,,,,,
126,2,6,,,,,,,
nan,3,3,5,5,5,4.2,,,
3,nan,100,91,91,91,75.2,,,
3,100,nan,91,91,91,75.2,,,
5,91,91,nan,97,97,76.2,,,
5,91,91,97,nan,100,76.8,,,
5,91,91,97,100,nan,76.8,,,
 ,,,,,,,,,
129,2,4,,,,,,,
nan,100,17,97,100,20,66.8,,,
100,nan,17,97,100,20,66.8,,,
17,17,nan,17,17,91,31.8,,,
97,97,17,nan,97,21,65.8,,,
100,100,17,97,nan,20,66.8,,,
20,20,91,21,20,nan,34.4,,,
 ,,,,,,,,,
125,5,4,,,,,,,
nan,56,100,100,100,100,91.2,,,
56,nan,56,56,56,56,56,,,
100,56,nan,100,100,100,91.2,,,
100,56,100,nan,100,100,91.2,,,
100,56,100,100,nan,100,91.2,,,
100,56,100,100,100,nan,91.2,,,
 ,,,,,,,,,
134,2,5,,,,,,,
nan,100,60,nan,nan,nan,80,,,
100,nan,60,nan,nan,nan,80,,,
60,60,nan,nan,nan,nan,60,,,
nan,nan,nan,nan,100,96,98,,,
nan,nan,nan,100,nan,96,98,,,
nan,nan,nan,96,96,nan,96,,,
 ,,,,,,,,,
129,7,6,,,,,,,
nan,74,62,67,12,59,54.8,,,
74,nan,80,90,7,81,66.4,,,
62,80,nan,86,12,78,63.6,,,
67,90,86,nan,9,84,67.2,,,
12,7,12,9,nan,11,10.2,,,
59,81,78,84,11,nan,62.6,,,
 ,,,,,,,,,
125,4,2,,,,,,,
nan,100,100,84,100,88,94.4,,,
100,nan,100,84,100,88,94.4,,,
100,100,nan,84,100,88,94.4,,,
84,84,84,nan,84,95,86.2,,,
100,100,100,84,nan,88,94.4,,,
88,88,88,95,88,nan,89.4,,,
 ,,,,,,,,,
133,6,2,,,,,,,
nan,36,100,100,36,4,55.2,,,
36,nan,36,36,100,31,47.8,,,
100,36,nan,100,36,4,55.2,,,
100,36,100,nan,36,4,55.2,,,
36,100,36,36,nan,31,47.8,,,
4,31,4,4,31,nan,14.8,,,
 ,,,,,,,,,
134,5,5,,,,,,,
nan,100,72,72,72,100,83.2,,,
100,nan,72,72,72,100,83.2,,,
72,72,nan,100,100,72,83.2,,,
72,72,100,nan,100,72,83.2,,,
72,72,100,100,nan,72,83.2,,,
100,100,72,72,72,nan,83.2,,,
 ,,,,,,,,,
127,2,7,,,,,,,
nan,100,99,99,99,10,81.4,,,
100,nan,99,99,99,10,81.4,,,
99,99,nan,100,100,10,81.6,,,
99,99,100,nan,100,10,81.6,,,
99,99,100,100,nan,10,81.6,,,
10,10,10,10,10,nan,10,,,
 ,,,,,,,,,
129,7,2,,,,,,,
nan,100,100,100,100,100,100,,,
100,nan,100,100,100,100,100,,,
100,100,nan,100,100,100,100,,,
100,100,100,nan,100,100,100,,,
100,100,100,100,nan,100,100,,,
100,100,100,100,100,nan,100,,,
 ,,,,,,,,,
125,7,5,,,,,,,
nan,94,100,100,81,14,77.8,,,
94,nan,94,94,76,nan,89.5,,,
100,94,nan,100,81,14,77.8,,,
100,94,100,nan,81,14,77.8,,,
81,76,81,81,nan,12,66.2,,,
14,nan,14,14,12,nan,13.5,,,
 ,,,,,,,,,
125,7,6,,,,,,,
nan,75,10,78,75,68,61.2,,,
75,nan,7,90,84,83,67.8,,,
10,7,nan,6,7,nan,7.5,,,
78,90,6,nan,87,80,68.2,,,
75,84,7,87,nan,67,64,,,
68,83,nan,80,67,nan,74.5,,,
 ,,,,,,,,,
135,4,2,,,,,,,
nan,54,36,36,36,100,52.4,,,
54,nan,11,11,11,54,28.2,,,
36,11,nan,100,100,36,56.6,,,
36,11,100,nan,100,36,56.6,,,
36,11,100,100,nan,36,56.6,,,
100,54,36,36,36,nan,52.4,,,
 ,,,,,,,,,
134,3,3,,,,,,,
nan,7,99,7,7,98,43.6,,,
7,nan,7,100,100,7,44.2,,,
99,7,nan,7,7,99,43.8,,,
