100.0,nan,93.0,93.0,54.0,85.0
93.0,93.0,nan,100.0,49.0,83.75
93.0,93.0,100.0,nan,49.0,83.75
54.0,54.0,49.0,49.0,nan,51.5
128,8,2,4
 
nan,43.0,43.0,48.0,57.0,47.75
43.0,nan,100.0,83.0,55.0,70.25
43.0,100.0,nan,83.0,55.0,70.25
48.0,83.0,83.0,nan,50.0,66.0
57.0,55.0,55.0,50.0,nan,54.25
126,6,6,3
 
nan,71.0,71.0,71.0,71.0,71.0
71.0,nan,100.0,100.0,100.0,92.75
71.0,100.0,nan,100.0,100.0,92.75
71.0,100.0,100.0,nan,100.0,92.75
71.0,100.0,100.0,100.0,nan,92.75
135,2,7,3
 
nan,85.0,94.0,94.0,90.0,90.75
85.0,nan,89.0,89.0,88.0,87.75
94.0,89.0,nan,100.0,91.0,93.5
94.0,89.0,100.0,nan,91.0,93.5
90.0,88.0,91.0,91.0,nan,90.0
132,2,2,3
 
nan,58.0,91.0,87.0,87.0,80.75
58.0,nan,60.0,63.0,63.0,61.0
91.0,60.0,nan,96.0,96.0,85.75
87.0,63.0,96.0,nan,100.0,86.5
87.0,63.0,96.0,100.0,nan,86.5
130,6,7,2
 
nan,100.0,100.0,100.0,100.0,100.0
100.0,nan,100.0,100.0,100.0,100.0
100.0,100.0,nan,100.0,100.0,100.0
100.0,100.0,100.0,nan,100.0,100.0
100.0,100.0,100.0,100.0,nan,100.0
140,4,5,3
 
nan,64.0,86.0,92.0,98.0,85.0
64.0,nan,72.0,67.0,62.0,66.25
86.0,72.0,nan,93.0,85.0,84.0
92.0,67.0,93.0,nan,91.0,85.75
98.0,62.0,85.0,91.0,nan,84.0
127,6,3,2
 
nan,66.0,66.0,66.0,100.0,74.5
66.0,nan,100.0,100.0,66.0,83.0
66.0,100.0,nan,100.0,66.0,83.0
66.0,100.0,100.0,nan,66.0,83.0
100.0,66.0,66.0,66.0,nan,74.5
128,8,8,2
 
nan,100.0,100.0,97.0,100.0,99.25
100.0,nan,100.0,97.0,100.0,99.25
100.0,100.0,nan,97.0,100.0,99.25
97.0,97.0,97.0,nan,97.0,97.0
100.0,100.0,100.0,97.0,nan,99.25
125,2,2,2
 
nan,nan,nan,nan,nan,nan
nan,nan,95.0,100.0,100.0,98.333333333333329
nan,95.0,nan,95.0,95.0,95.0
nan,100.0,95.0,nan,100.0,98.333333333333329
nan,100.0,95.0,100.0,nan,98.333333333333329
133,2,5,4
 
nan,40.0,51.0,64.0,63.0,54.5
40.0,nan,65.0,57.0,59.0,55.25
51.0,65.0,nan,58.0,52.0,56.5
64.0,57.0,58.0,nan,63.0,60.5
63.0,59.0,52.0,63.0,nan,59.25
129,2,4,4
 
nan,73.0,47.0,62.0,89.0,67.75
73.0,nan,42.0,41.0,70.0,56.5
47.0,42.0,nan,84.0,47.0,55.0
62.0,41.0,84.0,nan,58.0,61.25
89.0,70.0,47.0,58.0,nan,66.0
128,8,5,3
 
nan,88.0,88.0,100.0,88.0,91.0
88.0,nan,100.0,88.0,100.0,94.0
88.0,100.0,nan,88.0,100.0,94.0
100.0,88.0,88.0,nan,88.0,91.0
88.0,100.0,100.0,88.0,nan,94.0
140,8,6,2
 
nan,92.0,100.0,89.0,100.0,95.25
92.0,nan,92.0,97.0,92.0,93.25
100.0,92.0,nan,89.0,100.0,95.25
89.0,97.0,89.0,nan,89.0,91.0
100.0,92.0,100.0,89.0,nan,95.25
126,5,2,2
 
nan,100.0,66.0,100.0,100.0,91.5
100.0,nan,66.0,100.0,100.0,91.5
66.0,66.0,nan,66.0,66.0,66.0
100.0,100.0,66.0,nan,100.0,91.5
100.0,100.0,66.0,100.0,nan,91.5
138,6,2,4
 
nan,83.0,54.0,69.0,75.0,70.25
83.0,nan,50.0,72.0,69.0,68.5
54.0,50.0,nan,52.0,66.0,55.5
69.0,72.0,52.0,nan,81.0,68.5
75.0,69.0,66.0,81.0,nan,72.75
135,6,3,3
 
nan,90.0,42.0,33.0,32.0,49.25
90.0,nan,40.0,37.0,36.0,50.75
42.0,40.0,nan,30.0,33.0,36.25
33.0,37.0,30.0,nan,91.0,47.75
32.0,36.0,33.0,91.0,nan,48.0
130,5,2,4
 
nan,80.0,83.0,71.0,100.0,83.5
80.0,nan,92.0,62.0,80.0,78.5
83.0,92.0,nan,63.0,83.0,80.25
71.0,62.0,63.0,nan,71.0,66.75
100.0,80.0,83.0,71.0,nan,83.5
131,2,4,2
 
nan,73.0,100.0,90.0,73.0,84.0
73.0,nan,73.0,67.0,100.0,78.25
100.0,73.0,nan,90.0,73.0,84.0
90.0,67.0,90.0,nan,67.0,78.5
73.0,100.0,73.0,67.0,nan,78.25
133,7,6,3
 
nan,50.0,62.0,50.0,58.0,55.0
50.0,nan,68.0,100.0,67.0,71.25
62.0,68.0,nan,68.0,77.0,68.75
50.0,100.0,68.0,nan,67.0,71.25
58.0,67.0,77.0,67.0,nan,67.25
133,5,4,3
 
nan,49.0,48.0,49.0,49.0,48.75
49.0,nan,92.0,100.0,100.0,85.25
48.0,92.0,nan,92.0,92.0,81.0
49.0,100.0,92.0,nan,100.0,85.25
49.0,100.0,92.0,100.0,nan,85.25
126,3,3,3
 
nan,93.0,93.0,31.0,38.0,63.75
93.0,nan,100.0,25.0,31.0,62.25
93.0,100.0,nan,25.0,31.0,62.25
31.0,25.0,25.0,nan,78.0,39.75
38.0,31.0,31.0,78.0,nan,44.5
125,8,6,2
 
nan,91.0,84.0,84.0,96.0,88.75
91.0,nan,78.0,78.0,89.0,84.0
84.0,78.0,nan,100.0,87.0,87.25
84.0,78.0,100.0,nan,87.0,87.25
96.0,89.0,87.0,87.0,nan,89.75
127,3,8,3
 
nan,53.0,57.0,91.0,91.0,73.0
53.0,nan,80.0,57.0,57.0,61.75
57.0,80.0,nan,54.0,54.0,61.25
91.0,57.0,54.0,nan,100.0,75.5
91.0,57.0,54.0,100.0,nan,75.5
127,8,4,4
 
nan,92.0,100.0,100.0,100.0,98.0
92.0,nan,92.0,92.0,92.0,92.0
100.0,92.0,nan,100.0,100.0,98.0
100.0,92.0,100.0,nan,100.0,98.0
100.0,92.0,100.0,100.0,nan,98.0
138,8,6,3
 
nan,99.0,99.0,97.0,100.0,98.75
99.0,nan,100.0,96.0,99.0,98.5
99.0,100.0,nan,96.0,99.0,98.5
97.0,96.0,96.0,nan,97.0,96.5
100.0,99.0,99.0,97.0,nan,98.75
131,8,4,4
 
nan,99.0,89.0,75.0,100.0,90.75
99.0,nan,89.0,76.0,99.0,90.75
89.0,89.0,nan,67.0,89.0,83.5
75.0,76.0,67.0,nan,75.0,73.25
100.0,99.0,89.0,75.0,nan,90.75
140,3,5,4
 
nan,87.0,82.0,80.0,92.0,85.25
87.0,nan,94.0,92.0,95.0,92.0
82.0,94.0,nan,87.0,89.0,88.0
80.0,92.0,87.0,nan,88.0,86.75
92.0,95.0,89.0,88.0,nan,91.0
135,8,7,3
 
nan,96.0,96.0,96.0,85.0,93.25
96.0,nan,100.0,100.0,87.0,95.75
96.0,100.0,nan,100.0,87.0,95.75
96.0,100.0,100.0,nan,87.0,95.75
