131,2,7,2
 
127,8,6,4
 
51.0,nan,44.0,69.0,61.0,56.25
83.0,44.0,nan,73.0,74.0,68.5
83.0,69.0,73.0,nan,90.0,78.75
84.0,61.0,74.0,90.0,nan,77.25
135,3,7,3
 
nan,73.0,64.0,73.0,67.0,69.25
73.0,nan,88.0,100.0,84.0,86.25
64.0,88.0,nan,88.0,96.0,84.0
73.0,100.0,88.0,nan,84.0,86.25
67.0,84.0,96.0,84.0,nan,82.75
135,2,7,3
 
nan,66.0,100.0,100.0,97.0,90.75
66.0,nan,66.0,66.0,64.0,65.5
100.0,66.0,nan,100.0,97.0,90.75
100.0,66.0,100.0,nan,97.0,90.75
97.0,64.0,97.0,97.0,nan,88.75
131,2,3,4
 
nan,52.0,90.0,53.0,62.0,64.25
52.0,nan,57.0,89.0,86.0,71.0
90.0,57.0,nan,58.0,64.0,67.25
53.0,89.0,58.0,nan,81.0,70.25
62.0,86.0,64.0,81.0,nan,73.25
131,8,6,3
 
nan,82.0,72.0,82.0,82.0,79.5
82.0,nan,86.0,100.0,100.0,92.0
72.0,86.0,nan,86.0,86.0,82.5
82.0,100.0,86.0,nan,100.0,92.0
82.0,100.0,86.0,100.0,nan,92.0
132,4,4,2
 
nan,100.0,100.0,100.0,100.0,100.0
100.0,nan,100.0,100.0,100.0,100.0
100.0,100.0,nan,100.0,100.0,100.0
100.0,100.0,100.0,nan,100.0,100.0
100.0,100.0,100.0,100.0,nan,100.0
132,7,3,4
 
nan,73.0,79.0,84.0,86.0,80.5
73.0,nan,91.0,70.0,69.0,75.75
79.0,91.0,nan,70.0,72.0,78.0
84.0,70.0,70.0,nan,98.0,80.5
86.0,69.0,72.0,98.0,nan,81.25
139,6,4,2
 
nan,100.0,100.0,100.0,100.0,100.0
100.0,nan,100.0,100.0,100.0,100.0
100.0,100.0,nan,100.0,100.0,100.0
100.0,100.0,100.0,nan,100.0,100.0
100.0,100.0,100.0,100.0,nan,100.0
132,6,5,2
 
nan,100.0,100.0,100.0,100.0,100.0
100.0,nan,100.0,100.0,100.0,100.0
100.0,100.0,nan,100.0,100.0,100.0
100.0,100.0,100.0,nan,100.0,100.0
100.0,100.0,100.0,100.0,nan,100.0
128,7,8,3
 
nan,86.0,100.0,100.0,82.0,92.0
86.0,nan,86.0,86.0,96.0,88.5
100.0,86.0,nan,100.0,82.0,92.0
100.0,86.0,100.0,nan,82.0,92.0
82.0,96.0,82.0,82.0,nan,85.5
129,7,4,4
 
nan,91.0,100.0,100.0,66.0,89.25
91.0,nan,91.0,91.0,56.0,82.25
100.0,91.0,nan,100.0,66.0,89.25
100.0,91.0,100.0,nan,66.0,89.25
66.0,56.0,66.0,66.0,nan,63.5
139,7,2,2
 
nan,93.0,86.0,78.0,85.0,85.5
93.0,nan,79.0,72.0,78.0,80.5
86.0,79.0,nan,92.0,85.0,85.5
78.0,72.0,92.0,nan,92.0,83.5
85.0,78.0,85.0,92.0,nan,85.0
131,7,4,2
 
nan,100.0,93.0,100.0,92.0,96.25
100.0,nan,93.0,100.0,92.0,96.25
93.0,93.0,nan,93.0,85.0,91.0
100.0,100.0,93.0,nan,92.0,96.25
92.0,92.0,85.0,92.0,nan,90.25
134,8,8,4
 
nan,65.0,73.0,81.0,92.0,77.75
65.0,nan,78.0,71.0,71.0,71.25
73.0,78.0,nan,92.0,80.0,80.75
81.0,71.0,92.0,nan,73.0,79.25
92.0,71.0,80.0,73.0,nan,79.0
136,8,2,3
 
nan,80.0,71.0,100.0,71.0,80.5
80.0,nan,82.0,80.0,82.0,81.0
71.0,82.0,nan,71.0,100.0,81.0
100.0,80.0,71.0,nan,71.0,80.5
71.0,82.0,100.0,71.0,nan,81.0
138,7,5,4
 
nan,87.0,87.0,87.0,100.0,90.25
87.0,nan,100.0,100.0,87.0,93.5
87.0,100.0,nan,100.0,87.0,93.5
87.0,100.0,100.0,nan,87.0,93.5
100.0,87.0,87.0,87.0,nan,90.25
133,5,8,3
 
nan,45.0,54.0,49.0,77.0,56.25
45.0,nan,74.0,91.0,57.0,66.75
54.0,74.0,nan,78.0,78.0,71.0
49.0,91.0,78.0,nan,61.0,69.75
77.0,57.0,78.0,61.0,nan,68.25
133,6,8,4
 
nan,75.0,78.0,79.0,90.0,80.5
75.0,nan,86.0,96.0,75.0,83.0
78.0,86.0,nan,89.0,74.0,81.75
79.0,96.0,89.0,nan,71.0,83.75
90.0,75.0,74.0,71.0,nan,77.5
131,7,5,2
 
138,3,2,4
 
nan,55.0,54.0,49.0,67.0,56.25
55.0,nan,99.0,78.0,71.0,75.75
54.0,99.0,nan,77.0,70.0,75.0
49.0,78.0,77.0,nan,51.0,63.75
67.0,71.0,70.0,51.0,nan,64.75
133,5,6,3
 
nan,100.0,63.0,65.0,70.0,74.5
100.0,nan,63.0,65.0,70.0,74.5
63.0,63.0,nan,92.0,86.0,76.0
65.0,65.0,92.0,nan,94.0,79.0
70.0,70.0,86.0,94.0,nan,80.0
134,4,5,2
 
nan,100.0,100.0,100.0,91.0,97.75
100.0,nan,100.0,100.0,91.0,97.75
100.0,100.0,nan,100.0,91.0,97.75
100.0,100.0,100.0,nan,91.0,97.75
91.0,91.0,91.0,91.0,nan,91.0
138,5,5,3
 
nan,87.0,60.0,72.0,56.0,68.75
87.0,nan,54.0,66.0,53.0,65.0
60.0,54.0,nan,89.0,92.0,73.75
72.0,66.0,89.0,nan,82.0,77.25
56.0,53.0,92.0,82.0,nan,70.75
136,3,8,2
 
nan,100.0,93.0,100.0,100.0,98.25
100.0,nan,93.0,100.0,100.0,98.25
93.0,93.0,nan,93.0,93.0,93.0
100.0,100.0,93.0,nan,100.0,98.25
100.0,100.0,93.0,100.0,nan,98.25
135,8,8,4
 
nan,100.0,71.0,92.0,100.0,90.75
100.0,nan,71.0,92.0,100.0,90.75
71.0,71.0,nan,81.0,71.0,73.5
92.0,92.0,81.0,nan,92.0,89.25
100.0,100.0,71.0,92.0,nan,90.75
134,4,5,2
 
nan,100.0,100.0,100.0,100.0,100.0
100.0,nan,100.0,100.0,100.0,100.0
100.0,100.0,nan,100.0,100.0,100.0
100.0,100.0,100.0,nan,100.0,100.0
100.0,100.0,100.0,100.0,nan,100.0
133,4,6,3
 
nan,75.0,75.0,75.0,100.0,81.25
75.0,nan,100.0,100.0,75.0,87.5
75.0,100.0,nan,100.0,75.0,87.5
75.0,100.0,100.0,nan,75.0,87.5
100.0,75.0,75.0,75.0,nan,81.25
131,3,3,3
 
nan,55.0,100.0,51.0,51.0,64.25
55.0,nan,55.0,94.0,94.0,74.5
100.0,55.0,nan,51.0,51.0,64.25
