130,6,4
 
nan,99.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,99.444444444444443
99.0,nan,99.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,99.222222222222229
99.0,99.0,nan,99.0,99.0,100.0,99.0,99.0,99.0,99.0,99.111111111111114
99.0,100.0,99.0,nan,100.0,99.0,99.0,99.0,99.0,99.0,99.222222222222229
99.0,100.0,99.0,100.0,nan,99.0,99.0,99.0,99.0,99.0,99.222222222222229
99.0,99.0,100.0,99.0,99.0,nan,99.0,99.0,99.0,99.0,99.111111111111114
100.0,99.0,99.0,99.0,99.0,99.0,nan,100.0,100.0,100.0,99.444444444444443
100.0,99.0,99.0,99.0,99.0,99.0,100.0,nan,100.0,100.0,99.444444444444443
100.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,nan,100.0,99.444444444444443
100.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,nan,99.444444444444443
134,6,7
 
nan,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,99.888888888888886
100.0,nan,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,99.888888888888886
100.0,100.0,nan,100.0,100.0,100.0,100.0,99.0,100.0,100.0,99.888888888888886
100.0,100.0,100.0,nan,100.0,100.0,100.0,99.0,100.0,100.0,99.888888888888886
100.0,100.0,100.0,100.0,nan,100.0,100.0,99.0,100.0,100.0,99.888888888888886
100.0,100.0,100.0,100.0,100.0,nan,100.0,99.0,100.0,100.0,99.888888888888886
100.0,100.0,100.0,100.0,100.0,100.0,nan,99.0,100.0,100.0,99.888888888888886
99.0,99.0,99.0,99.0,99.0,99.0,99.0,nan,99.0,99.0,99.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,nan,100.0,99.888888888888886
100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,nan,99.888888888888886
130,4,4
 
nan,72.0,59.0,56.0,62.0,51.0,56.0,51.0,79.0,55.0,60.111111111111114
72.0,nan,53.0,41.0,46.0,43.0,41.0,43.0,90.0,46.0,52.777777777777779
59.0,53.0,nan,83.0,89.0,82.0,83.0,83.0,57.0,87.0,75.111111111111114
56.0,41.0,83.0,nan,91.0,86.0,100.0,86.0,46.0,91.0,75.555555555555557
62.0,46.0,89.0,91.0,nan,80.0,91.0,79.0,50.0,84.0,74.666666666666671
51.0,43.0,82.0,86.0,80.0,nan,86.0,98.0,46.0,94.0,74.0
56.0,41.0,83.0,100.0,91.0,86.0,nan,86.0,46.0,91.0,75.555555555555557
51.0,43.0,83.0,86.0,79.0,98.0,86.0,nan,46.0,94.0,74.0
79.0,90.0,57.0,46.0,50.0,46.0,46.0,46.0,nan,48.0,56.444444444444443
55.0,46.0,87.0,91.0,84.0,94.0,91.0,94.0,48.0,nan,76.666666666666671
131,7,7
 
nan,99.0,99.0,92.0,99.0,99.0,99.0,99.0,99.0,92.0,97.444444444444443
99.0,nan,99.0,92.0,99.0,99.0,100.0,99.0,99.0,92.0,97.555555555555557
99.0,99.0,nan,92.0,99.0,99.0,99.0,99.0,99.0,91.0,97.333333333333329
92.0,92.0,92.0,nan,92.0,92.0,92.0,92.0,92.0,85.0,91.222222222222229
99.0,99.0,99.0,92.0,nan,100.0,99.0,100.0,99.0,91.0,97.555555555555557
99.0,99.0,99.0,92.0,100.0,nan,99.0,100.0,99.0,91.0,97.555555555555557
99.0,100.0,99.0,92.0,99.0,99.0,nan,99.0,99.0,92.0,97.555555555555557
99.0,99.0,99.0,92.0,100.0,100.0,99.0,nan,99.0,91.0,97.555555555555557
99.0,99.0,99.0,92.0,99.0,99.0,99.0,99.0,nan,92.0,97.444444444444443
92.0,92.0,91.0,85.0,91.0,91.0,92.0,91.0,92.0,nan,90.777777777777771
126,7,7
 
nan,100.0,100.0,84.0,100.0,100.0,100.0,100.0,99.0,100.0,98.111111111111114
100.0,nan,100.0,84.0,100.0,100.0,100.0,100.0,99.0,100.0,98.111111111111114
100.0,100.0,nan,84.0,100.0,100.0,100.0,100.0,99.0,100.0,98.111111111111114
84.0,84.0,84.0,nan,84.0,84.0,84.0,84.0,84.0,84.0,84.0
100.0,100.0,100.0,84.0,nan,100.0,100.0,100.0,99.0,100.0,98.111111111111114
100.0,100.0,100.0,84.0,100.0,nan,100.0,100.0,99.0,100.0,98.111111111111114
100.0,100.0,100.0,84.0,100.0,100.0,nan,100.0,99.0,100.0,98.111111111111114
100.0,100.0,100.0,84.0,100.0,100.0,100.0,nan,99.0,100.0,98.111111111111114
99.0,99.0,99.0,84.0,99.0,99.0,99.0,99.0,nan,99.0,97.333333333333329
100.0,100.0,100.0,84.0,100.0,100.0,100.0,100.0,99.0,nan,98.111111111111114
