52,73,48,nan,42,53.75,
28,50,62,42,nan,45.5,47.4
138,7,2,2,,,
 ,,,,,,
nan,100,31,30,100,65.25,
100,nan,31,30,100,65.25,
31,31,nan,53,31,36.5,
30,30,53,nan,30,35.75,
100,100,31,30,nan,65.25,53.6
129,7,7,3,,,
 ,,,,,,
nan,93,91,76,22,70.5,
93,nan,85,72,21,67.75,
91,85,nan,68,22,66.5,
76,72,68,nan,33,62.25,
22,21,22,33,nan,24.5,58.3
125,3,4,4,,,
 ,,,,,,
nan,77,93,90,90,87.5,
77,nan,72,69,73,72.75,
93,72,nan,84,85,83.5,
90,69,84,nan,90,83.25,
90,73,85,90,nan,84.5,82.3
127,4,3,4,,,
 ,,,,,,
nan,79,70,62,68,69.75,
79,nan,70,66,86,75.25,
70,70,nan,66,64,67.5,
62,66,66,nan,60,63.5,
68,86,64,60,nan,69.5,69.1
133,7,6,3,,,
 ,,,,,,
nan,100,48,28,48,56,
100,nan,48,28,48,56,
48,48,nan,48,100,61,
28,28,48,nan,48,38,
48,48,100,48,nan,61,54.4
134,4,5,3,,,
 ,,,,,,
nan,19,18,12,10,14.75,
19,nan,63,55,63,50,
18,63,nan,82,83,61.5,
12,55,82,nan,73,55.5,
10,63,83,73,nan,57.25,47.8
130,4,2,3,,,
 ,,,,,,
nan,94,79,94,87,88.5,
94,nan,85,100,92,92.75,
79,85,nan,85,79,82,
94,100,85,nan,92,92.75,
87,92,79,92,nan,87.5,88.7
131,5,4,4,,,
 ,,,,,,
nan,65,70,63,69,66.75,
65,nan,76,64,70,68.75,
70,76,nan,78,84,77,
63,64,78,nan,89,73.5,
69,70,84,89,nan,78,72.8
128,6,8,4,,,
 ,,,,,,
nan,84,90,100,91,91.25,
84,nan,75,84,76,79.75,
90,75,nan,90,82,84.25,
100,84,90,nan,91,91.25,
91,76,82,91,nan,85,86.3
133,8,2,4,,,
 ,,,,,,
nan,67,81,75,75,74.5,
67,nan,55,74,87,70.75,
81,55,nan,63,60,64.75,
75,74,63,nan,75,71.75,
75,87,60,75,nan,74.25,71.2
135,8,2,2,,,
 ,,,,,,
nan,91,91,91,32,76.25,
91,nan,100,100,29,80,
91,100,nan,100,29,80,
91,100,100,nan,29,80,
32,29,29,29,nan,29.75,69.2
132,3,5,4,,,
 ,,,,,,
nan,92,81,71,83,81.75,
92,nan,88,78,91,87.25,
81,88,nan,89,85,85.75,
71,78,89,nan,84,80.5,
83,91,85,84,nan,85.75,84.2
139,8,6,3,,,
 ,,,,,,
nan,64,27,37,30,39.5,
64,nan,26,57,44,47.75,
27,26,nan,50,50,38.25,
37,57,50,nan,79,55.75,
30,44,50,79,nan,50.75,46.4
131,2,3,3,,,
 ,,,,,,
nan,31,17,23,33,26,
31,nan,57,86,86,65,
17,57,nan,59,49,45.5,
23,86,59,nan,78,61.5,
33,86,49,78,nan,61.5,51.9
140,8,6,2,,,
 ,,,,,,
nan,nan,nan,nan,nan,nan,
nan,nan,nan,nan,nan,nan,
nan,nan,nan,100,100,100,
nan,nan,100,nan,100,100,
nan,nan,100,100,nan,100,
137,6,3,4,,,
 ,,,,,,
nan,65,71,64,54,63.5,
65,nan,65,73,59,65.5,
71,65,nan,88,54,69.5,
64,73,88,nan,58,70.75,
54,59,54,58,nan,56.25,65.1
137,4,3,4,,,
 ,,,,,,
nan,39,66,44,43,48,
39,nan,56,72,50,54.25,
66,56,nan,77,66,66.25,
44,72,77,nan,61,63.5,
43,50,66,61,nan,55,57.4
125,7,4,3,,,
 ,,,,,,
nan,50,48,62,57,54.25,
50,nan,91,56,52,62.25,
48,91,nan,52,48,59.75,
62,56,52,nan,93,65.75,
57,52,48,93,nan,62.5,60.9
137,4,7,4,,,
 ,,,,,,
nan,85,73,78,76,78,
85,nan,87,91,90,88.25,
73,87,nan,79,93,83,
78,91,79,nan,82,82.5,
76,90,93,82,nan,85.25,83.4
