1425572016,-19,33,33,-53,-19,16,16,68,50,120,120,137,292,569,742,829,742,690,759,552,465,431,68,68,258,362,483,379,223,154,171,137,50,189,154,379,171,241,327,171,-19,-71,344,-36,137,223,292,241,258,154,-53,-347,102,258,206,102,16,33,-157,-330,206,967,673,223,171,-88,241,344,33,68,258,327,465,223,137,223,-157,68,-53,50,292,379,189,68,85,275,85,120,396,223,171,171,275,16,50,569,552,396,189,189,102,725,206,-313,206,396,68,137,223,137,-88,-105,-123,120,223,-105,-2,68,171,50,-36,327,-19,275,154,-296,33,120,-365,-226,50,189,223,33,-53,85,33,68,327,344,362,102,33,171,-175,68,-330,-209,-365,-244,-71,-330,-503,-763,-624,-659,-555,-278,-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425572045,-244,-244,-192,-209,-226,-209,-192,-365,-382,-365,-330,-105,68,275,465,621,863,898,725,621,344,137,120,362,189,171,16,258,396,431,431,258,275,292,171,258,362,863,708,362,258,448,258,189,275,223,327,431,85,171,16,-105,68,206,68,258,275,189,154,465,-296,-71,292,206,690,448,-53,206,171,-53,50,223,68,85,223,85,-36,16,-123,310,223,362,-2,16,-2,-2,-503,-19,448,465,448,85,431,621,638,638,777,1226,1469,794,1140,1140,1140,777,915,863,1313,1071,950,725,1088,1002,898,898,846,1192,1348,846,1019,1105,759,1019,483,535,863,777,708,898,725,638,362,206,310,587,656,465,604,673,535,206,587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425555855,520,520,554,312,347,260,278,416,572,433,710,589,537,226,105,35,-34,-68,-189,-16,-155,191,312,295,157,139,243,70,312,381,468,364,87,-16,243,53,433,381,399,260,139,70,105,-34,-155,-241,-812,-86,1,416,416,693,399,208,641,295,18,-16,-310,-120,1,347,416,416,278,260,295,87,70,157,-103,-259,-34,-103,-34,243,312,329,53,174,174,-86,53,-34,-86,-189,-241,35,451,243,243,243,-68,191,174,-345,-310,-207,-224,-34,451,260,-259,191,87,-172,-362,-466,-224,35,-34,53,243,35,122,105,-68,87,-103,105,70,208,191,87,208,208,87,208,226,191,122,-86,-68,-189,105,1,312,502,451,157,139,208,70,70,35,-51,-380,-86,-68,-328,-138,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425555880,-310,-310,-207,-120,-259,-34,53,53,-34,35,35,18,70,87,226,226,295,416,537,537,381,381,312,381,347,520,710,745,969,987,710,606,278,53,-345,-570,-605,-103,87,381,606,641,312,122,-68,139,226,191,-51,-51,-103,122,208,589,105,278,174,260,53,-16,191,-207,35,-155,347,191,70,139,53,122,295,416,-224,-328,433,312,312,295,399,-276,35,18,243,122,-691,-328,122,-16,191,451,381,139,122,157,226,174,329,174,-207,53,-34,139,433,295,-16,105,-293,-328,-241,-760,18,53,243,191,399,-708,451,35,295,191,87,122,1,-51,260,174,-68,208,364,329,-86,87,122,243,70,157,399,139,87,191,139,-103,-189,243,-138,70,364,364,157,312,-155,70,-103,-16,53,191,35,260,278,1,-397,-432,-605,-674,-708,-553,-224,-51,70,122,70,70,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424964678,145,145,75,145,110,75,110,93,145,110,127,93,93,23,-11,58,93,41,75,179,93,23,75,93,196,214,283,317,248,214,369,473,473,231,179,75,-11,41,-28,-98,-80,-28,23,-46,-11,41,6,-46,-28,-63,-63,6,-63,-63,-98,-132,-80,-80,6,93,214,456,508,733,767,802,663,369,352,369,542,404,456,127,-167,-495,-28,-236,508,681,819,698,58,-322,-288,-63,-80,-167,-651,-305,-219,179,577,698,646,-201,162,-28,248,-167,-392,-444,-599,93,93,456,1130,698,-28,-115,214,127,266,-46,-530,-374,23,214,1303,1009,594,421,6,23,335,490,-63,-167,-271,-28,-28,127,1303,923,196,196,179,93,-201,-46,-219,-322,41,58,196,854,231,266,162,300,214,23,-478,-772,-63,162,663,871,681,-184,6,214,162,300,-617,-1274,75,-28,715,1234,646,-98,-409,-184,542,248,-668,-668,127,335,214,-201,-150,-167,560,266,-98,23,-478,-28,-115,-478,387,145,-599,-28,-236,162,490,162,-651,-374,6,352,698,957,-80,-167,-547,-513,-426,-651,-184,-1014,-1049,-1084,-1447,-1464,-1118,-236,-1118,-1568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424964712,75,75,93,110,75,58,-63,317,906,1546,1113,957,577,-167,-236,-409,-340,335,1165,1338,-46,-28,-184,-115,-253,-219,-409,-305,-167,490,560,681,335,41,196,-46,352,75,-132,-478,-219,-11,248,231,629,266,162,58,421,-167,145,-547,-201,-236,404,231,283,525,-167,-288,231,179,162,-565,-495,58,41,629,819,439,-253,93,-98,23,-150,-720,-617,-444,300,836,508,58,-98,23,-63,-98,41,-444,-201,-115,-1257,1355,404,75,266,456,940,663,629,525,577,1338,1857,1615,923,508,283,854,560,421,629,802,767,888,698,1476,923,439,577,317,698,560,266,715,594,612,992,1096,957,871,629,819,923,802,283,698,266,698,1528,1494,871,421,681,992,767,231,-11,41,-201,421,560,-288,-219,-11,93,58,-28,-115,-98,-167,-392,-288,-115,-167,-115,-150,-150,-167,-63,-132,-11,6,41,41,75,58,110,110,110,93,127,145,127,145,75,145,179,145,214,214,162,93,110,93,110,145,127,145,93,127,145,110,75,127,162,179,110,162,127,110,58,75,93,75,-11,93,58,-11,41,23,93,41,110,75,110,41,110,110,41,23,23,75,23,41,75,41,58,58,58,75,93,58,41,23,23,75,41,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424965463,-46,-63,-63,-46,-46,-46,-11,-28,-28,-132,41,-63,-80,-11,-28,-63,-98,75,283,248,162,-11,58,248,663,802,594,352,-115,-28,-167,127,196,6,196,-115,162,490,473,767,421,214,-253,-271,-132,58,-98,-201,-271,-115,6,231,577,542,317,75,-132,-115,-28,-28,-201,-80,-288,93,300,560,508,110,-184,-98,-288,75,110,-236,-80,-236,145,300,784,629,317,-150,-150,283,456,508,-28,127,-201,-80,41,594,75,266,-63,-46,-150,-28,-167,-132,6,-28,145,525,715,283,196,-219,-98,93,-80,-150,-98,-98,41,179,681,612,23,-98,-530,-322,-201,110,-236,-184,-150,456,473,923,888,179,-63,-340,-495,-305,-357,-444,23,-219,6,110,335,439,266,162,-167,-219,-184,-80,231,75,127,-11,266,179,594,23,-271,-426,-513,-132,58,-115,-305,-46,41,248,404,975,629,439,145,-253,-253,-322,-426,-703,-80,-617,-305,-219,248,421,-63,-184,-720,-1222,-1395,-1429,-1066,-599,-461,-738,-271,-184,-392,-167,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424965495,871,888,836,663,456,473,404,387,456,439,387,300,404,456,508,473,421,421,369,387,283,196,248,248,317,317,387,369,335,283,248,335,473,439,525,715,784,906,854,784,819,784,750,508,733,542,214,404,110,-236,-703,-513,-253,145,421,439,612,404,369,594,715,784,-288,-409,-651,23,23,93,-63,283,110,300,698,819,490,-98,-565,-357,75,6,-28,-98,-63,231,404,940,473,-80,-219,-201,369,335,283,-150,-46,196,404,1009,1027,93,6,23,-46,23,-755,-634,-271,58,439,490,560,127,-167,-409,-236,-236,-150,-271,-184,23,145,715,663,-28,-150,-444,-46,196,231,214,352,23,1528,612,906,681,6,-236,-322,-201,525,-28,-98,-46,214,439,888,888,93,-236,-392,-478,196,93,145,-28,248,317,733,335,-46,-219,-236,-11,41,110,41,-46,-115,231,352,369,6,-305,-495,-461,-392,-392,-513,-236,-444,-565,-668,-824,-1101,-1222,-1170,-1429,-980,-893,-599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424966175,-236,-236,-236,-271,-288,-219,-150,-132,-167,-271,58,421,698,767,629,767,698,663,369,-201,-219,-80,231,369,473,214,110,110,110,179,23,93,127,23,75,-11,196,58,6,23,-46,-132,-28,110,58,127,93,75,-132,-132,110,58,369,231,179,145,179,196,145,196,-80,-150,-80,110,58,-167,6,248,214,248,421,473,456,162,179,110,196,266,6,-46,41,179,127,369,283,58,-150,-80,23,75,6,58,-201,41,6,145,41,-426,-288,-357,-63,58,41,231,196,110,162,6,231,-98,-80,23,93,145,110,162,145,127,162,179,162,58,23,-28,127,404,-98,41,-132,-11,58,23,-98,-184,-357,-28,196,93,-63,110,145,-11,41,93,127,-253,-201,-98,93,214,196,145,58,6,162,214,179,23,-115,23,-28,41,58,179,41,-305,-374,-565,-565,-703,-738,-582,-392,-357,-271,-132,-219,-132,-98,-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424966214,23,23,23,23,41,6,-11,41,-11,41,179,784,1113,1096,1061,1096,871,836,663,352,23,-236,-219,-305,-63,214,196,283,127,41,145,196,317,473,577,317,-80,-132,-98,-219,-253,-305,-305,-150,-98,75,-167,-28,-219,-253,-28,41,93,23,-115,-80,23,231,317,248,-28,-167,-167,-184,-80,-132,-63,75,-184,6,-11,-11,-98,-201,-322,-167,-132,-201,41,127,214,-46,214,335,266,-132,-98,-98,-150,127,-63,75,-495,-513,-305,-322,-271,-340,-357,6,-46,248,162,110,-132,196,145,145,6,-28,-392,-426,-150,-132,-63,-11,-132,-132,-46,127,-150,179,58,-150,58,560,352,110,-28,-11,214,715,1113,1338,1148,975,1424,1459,836,1096,1182,1027,871,681,387,369,542,750,421,456,525,663,733,802,508,698,802,663,819,802,335,41,145,283,335,663,750,490,923,819,698,784,629,352,127,-11,-184,23,145,-28,-184,-28,75,58,110,110,93,75,58,110,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
